,username,wither_skeleton,creeper,player,drowned,enderman,skeleton,zombie,stray,piglin,cave_spider,silverfish,spider,wolf,ender_dragon,iron_golem,vindicator,witch,zombie_villager,endermite,fox,vex,evoker,guardian,hoglin,phantom,ravager,shulker,wither,blaze,elder_guardian,husk,magma_cube,zombified_piglin,ghast,pillager,slime,piglin_brute,panda,armor_stand,bee,llama
154,opp31337,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
155,fracturedfiree,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,ImJustB0nk,,,,,,,,,,,,,,,,2.0,,,,,7.0,,,,,,,,,,,,,,,,,,,,
157,Rich_U2,,,113.0,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,1.0,,,,8.0,,,,,,,,
158,AlchemiDae,,2.0,,,,6.0,4.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
159,Lantias,,3.0,1.0,,,3.0,6.0,,,,,1.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,
160,Kelone,,2.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,akshay69,,,2.0,,1.0,1.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
162,Bazo_05,,2.0,8.0,,8.0,,,,4.0,,,,,1.0,,,,,,,,,,4.0,1.0,,,3.0,,,,,,,,,,,,,
163,NoMercy00,,3.0,,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,3.0,,,,,,,,1.0,,,,,,,,,
164,Kablaouye,,1.0,8.0,,1.0,,1.0,,1.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
165,Luci_Lionheart,,2.0,1.0,,,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,_Arachni_,2.0,15.0,34.0,,8.0,18.0,4.0,,7.0,,,2.0,1.0,,9.0,4.0,,,,,3.0,,,2.0,,,,1.0,,,,2.0,1.0,,,,,,,,
167,DashonXbox,,1.0,3.0,,,1.0,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
168,HelloImSteven,,,1.0,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,Brobdingnagian,,8.0,39.0,,1.0,10.0,4.0,,3.0,,,,,,4.0,2.0,,,,,4.0,,,,,1.0,,,,,,,1.0,,,,,,,,
170,M4Mancy,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,bokoedro,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,
